adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,,[],516907,en,Spuren im Tal,Documentary film.,0.0193,,1990-06-29,Spuren im Tal,False,0.0,0
False,,[],475411,es,Natural Features,“In NATURAL FEATURES Nelson mingles hundreds of still images with 3-D objects and “real” images photographed through glass layerings into a free-associative and playfully bizarre form of animation. Perhaps no film has more successfully blended an evident passion for painting with a sensitivity to filmmaking such as lush pigments alternate with and punctuate the different photographic layerings” – Steve Anker,0.0404,/mwdsPHAQ5YXhsQMwBazKxnZH5g.jpg,1990-01-01,Natural Features,False,0.0,0
False,,[16],412805,nl,De slaapkammer,"In an empty room, a chair and an easel appear. One by one, paintings and drawings are composed on the easel, slip off, and slide up the walls. Coats and a coat rack appear. Then a bed comes up from the floor. A mattress materializes, a bedspread and pillows, too. Other features of the room appear. By the end, it's a bedroom at Arles, as painted by Vincent Van Gogh.",0.0214,,1990-05-01,The Bedroom,False,7.0,1
False,,[],322207,en,Mruthyunjaya,1990 Indian Kannada Film,0.0286,,1990-01-01,Mruthyunjaya,False,0.0,0
False,,[],298598,en,Chronik des Regens,Low budget independent film from Berlin.,0.0404,,1990-01-01,Chronik des Regens,False,0.0,0
False,,[18],273267,en,Le cantique des pierres,"Two Palestinian lovers, parted during the 60s when he is imprisoned for resisting the Israeli occupation and she sorrowfully emigrates to the US, come together again in Jerusalem some 18 years later. He works for an agricultural aid organization, she is a scholar researching the meaning of sacrifice in Palestinian society. Around them rages the turmoil of the first Intifada.",0.0475,/uF0Dyz7D4hptiC9cSZDEW9z4Oqa.jpg,1990-01-02,Canticle of Stones,False,5.3,3
False,,[],257386,en,You Be Mother,"You Be Mother uses stop-frame animation to disrupt the traditional orders of animate and inanimate, the fluid and the solid. An hallucinatory space is set up when a frozen image of the artist’s face is projected onto weighty pieces of crockery atop a table. Ears, eyes, nose and mouth, all become spatially dislocated as a determined hand begins to reposition, decant and mix. Events unfold to the amplified sounds of grinding, pouring and stirring.",0.0286,,1990-01-01,You Be Mother,False,0.0,0
False,,[27],933139,en,Dead Women Don't Wear Shoes,"When she puts on a murdered woman's shoes, a teenager's body is used as a vessel for revenge.",0.0654,/7rXKK5jM0TVrZAc2hEcmJcNCKaX.jpg,1990-06-26,Dead Women Don't Wear Shoes,False,0.0,0
False,,[10402],887980,fr,"Laura Branigan in Concert Atlantic City, New Jersey",,0.0239,/3QjiKedMrhRF4LHi7NjpkBnFE81.jpg,1990-05-05,"Laura Branigan in Concert Atlantic City, New Jersey",False,0.0,0
False,,[],1448004,en,Amalia Rodrigues Live In New York,"A thrilling performance of the greatest modern singer of Fado, Amalia Rodrigues.  Taped in 1990, before an excited and savvy audience at New York's Town Hall, the concert captures all the passion, romance, and power of both the Fado tradition and Amalia herself.",0.0311,/gY3TFj621pDettKZ7oO9X42RwEb.jpg,1990-11-02,Amalia Rodrigues Live In New York,False,0.0,0
